,"Matrices y determinantes: clasificación, propiedades, operaciones y aplicaciones (grafos y modelización de situaciones reales).","Demostraciones numéricas sencillas (inducción, deducción…)",Técnicas y estrategias de resolución de problemas relacionados con los cuerpos numéricos y estructuras,"Reconocimiento del error como elemento de aprendizaje en la selección u obtención de soluciones numéricas, matriciales, etc.",Desarrollo histórico del sentido numérico. Aplicaciones de los conjuntos numéricos,Resolución de problemas mediante ecuaciones e inecuaciones.,"Interpretación gráfica de las soluciones de ecuaciones, inecuaciones y sistemas con y sin medios tecnológicos",Método de Gauss.,Discusión y resolución de sistemas de ecuaciones lineales. Regla de Cramer.,Resolución de problemas algebraicos mediante matrices y determinantes.,Desarrollo del histórico del álgebra y valoración de su uso en el avance de la ciencia y la tecnología.,"Flexibilidad en el uso de varias estrategias, técnicas o métodos de resolución de situaciones problemáticas susceptibles de modelación algebraica.","Autonomía, tolerancia ante el error, perseverancia en el aprendizaje de aspectos asociados al sentido algebraico","Funciones básicas: polinómica, racional e irracional, definidas a tramos, exponencial, logarítmica, trigonométrica, periódica, valor absoluto. Características necesarias para la construcción gráfica.",Continuidad y discontinuidad. Asíntotas y ramas,Estimación de límites mediante tablas o gráficas. Cálculo de límites en un punto y en el infinito. Indeterminaciones. Infinitos e infinitésimos. Regla de L’Hôpital.,Teoremas de Bolzano y Weierstrass,Resolución de problemas y modelización mediante funciones,Programas informáticos de geometría dinámica. Calculadoras gráficas.,Desarrollo histórico del análisis sobre funciones y sus aplicaciones. Valoración de los usos científicos de las funciones,"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados a las relaciones y funciones",Reglas y técnicas de derivación. Cálculo de derivadas,Derivabilidad de una función. Teoremas de Rolle y del valor medio.,"Uso de la derivada en contextos STEM: representación gráfica, estudio del cambio y optimización.",Primitiva de una función. Integrales inmediatas y técnicas para el cálculo de primitivas (resolución por partes y sustitución),Integral definida. Propiedades. Teorema fundamental del cálculo integral.,Regla de Barrow. Área de superficies planas y volúmenes de revolución.,"Desarrollo histórico del cálculo de integrales y derivadas, así como de sus aplicaciones.","Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados al cálculo y utilización de la integral y derivada de una función.","Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados al cálculo y utilización de la geometría","Vectores libres en el plano. Operaciones geométricas básicas y sus propiedades. Producto escalar, vectorial y mixto.","Dependencia e independencia lineal. Bases ortogonales y ortonormales. Sistemas de referencia, coordenadas de un vector respecto de una base.",Representación de objetos geométricos en el plano con y sin medios tecnológicos.,"Ecuaciones rectas y planos en el espacio. Posiciones relativas. Problemas métricos en el espacio: distancias, ángulos, superficies y volúmenes.",Desarrollo histórico de la geometría analítica y sus aplicaciones. Valoración de los usos en contextos científicos,Experimentos aleatorios y sucesos. Frecuencias e idea intuitiva de probabilidad. Sucesos. Dependencia e independencia de sucesos,Estrategias de recuento para el cálculo de probabilidades. Diagramas de árbol y tablas de contingencia. Regla de Laplace,Probabilidad condicionada. Teoremas: probabilidad total y Bayes,Modelización de fenómenos estocásticos mediante distribuciones binomial y normal. Utilización de herramientas tecnológicas para el cálculo de probabilidades cuando sea necesario.,Desarrollo histórico de la probabilidad y sus aplicaciones. Valoración de los usos científicos.,"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados a distribuciones y el cálculo de probabilidades",Estrategias de resolución de problemas. Modelización de fenómenos,"Demostraciones sencillas (métodos de reducción al absurdo, inducción completa, razonamiento deductivo…)","Calculadora, hoja de cálculo o software específico. Toma de decisiones: utilización de conclusiones derivadas del tratamiento computacional.","Perseverancia, iniciativa y flexibilidad en la resolución de situaciones problemáticas susceptibles de error o no exentos de dificultades relacionados con las formas de razonamiento lógico-matemático o del uso de medios tecnológicos específicos."
"Matrices y determinantes: clasificación, propiedades, operaciones y aplicaciones (grafos y modelización de situaciones reales).",NA,0,3,3,3,3,3,3,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,3,0,3,3
"Demostraciones numéricas sencillas (inducción, deducción…)",NA,NA,0,3,3,2,0,3,2,0,3,3,0,3,2,2,2,0,0,3,0,2,2,0,3,1,2,2,0,0,0,0,0,0,3,0,2,3,0,2,2,3,3,0,3
Técnicas y estrategias de resolución de problemas relacionados con los cuerpos numéricos y estructuras,NA,NA,NA,1,2,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,0,0,0,3,2,0,0,0,0,0,3,3,3
"Reconocimiento del error como elemento de aprendizaje en la selección u obtención de soluciones numéricas, matriciales, etc.",NA,NA,NA,NA,2,2,2,3,2,2,2,3,3,0,0,0,0,3,3,0,3,0,2,3,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,2,0,3,3
Desarrollo histórico del sentido numérico. Aplicaciones de los conjuntos numéricos,NA,NA,NA,NA,NA,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Resolución de problemas mediante ecuaciones e inecuaciones.,NA,NA,NA,NA,NA,NA,1,1,2,3,2,3,1,2,0,0,0,3,0,0,1,3,0,3,0,0,0,3,0,0,3,3,3,0,0,0,0,0,3,0,0,2,0,1,1
"Interpretación gráfica de las soluciones de ecuaciones, inecuaciones y sistemas con y sin medios tecnológicos",NA,NA,NA,NA,NA,NA,NA,0,3,3,2,2,1,3,3,0,0,3,0,3,3,0,3,2,0,0,0,3,3,3,0,0,3,3,3,0,0,0,0,0,0,2,0,1,3
Método de Gauss.,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0
Discusión y resolución de sistemas de ecuaciones lineales. Regla de Cramer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,3,3,3
Resolución de problemas algebraicos mediante matrices y determinantes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,3,0,0,0,0,0,0,1,0,1,3
Desarrollo del histórico del álgebra y valoración de su uso en el avance de la ciencia y la tecnología.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,0,3,0,0,0,3,0,3,3
"Flexibilidad en el uso de varias estrategias, técnicas o métodos de resolución de situaciones problemáticas susceptibles de modelación algebraica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,2,3,3,3,3,3,0,0,0,0,0,2,0,3,3
"Autonomía, tolerancia ante el error, perseverancia en el aprendizaje de aspectos asociados al sentido algebraico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,2,0,3,3,0,0,0,0,0,0,3
